order_id,order_date,customer,product,category,quantity,unit_price,status,note
1001,2025-08-01,山田商事,ワイヤレスマウス,周辺機器,3,2980,出荷済,
1002,2025-08-01,佐藤工業,USB ハブ 4ポート,周辺機器,10,1580,出荷済,至急対応
1003,2025-08-02,鈴木物産,モニター 27インチ,ディスプレイ,2,32800,キャンセル,client cancelled by phone
1004,2025-08-02,高橋電機,キーボード,周辺機器,5,4200,出荷済,
1005,2025-08-03,山田商事,ノートPC スタンド,アクセサリ,1,3600,返品,damaged on arrival
1006,2025-08-03,田中製作所,LANケーブル 5m,ケーブル,20,880,出荷済,
1007,2025-08-04,佐藤工業,SD カードリーダー,周辺機器,4,1200,保留,在庫確認中
1008,2025-08-05,伊藤商会,モニターアーム,アクセサリ,2,7800,出荷済,
1009,2025-08-05,鈴木物産,ワイヤレスマウス,周辺機器,6,2980,返品,unit defective
1010,2025-08-06,渡辺工房,USB-C 変換アダプタ,ケーブル,15,650,出荷済,
